,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
106,106,L,,,0.988,0.684,,,82.42,61,0.84,0.02,92.472,,,8114,122,1.456,0.398,27.9,0.59,41.3,0.988,69.2,0.406,27.9,0.202,20.4,0.572,57.9,0.214,21.7,0.299,20.9,0.291,20.4,,69.2,95078
107,107,R,,,1.056,0.697,,,86.89,59,0.87,0.01,93.169,,-3.188,8173,120,1.381,0.44,29.8,0.616,41.7,1.056,71.5,0.398,28.8,0.19,18,0.613,58,0.253,24,0.291,19.7,0.325,22,,71.5,95775
108,108,L,,,1.049,0.731,,,84.03,61,0.84,-0.01,93.9,,,8235,120,1.428,0.421,27.7,0.628,41.3,1.049,68.9,0.44,30.8,0.228,21.7,0.589,56.1,0.232,22.2,0.325,21.4,0.303,19.9,,68.9,96506
109,109,R,,,1.093,0.746,,,81.25,60,0.82,-0.01,94.646,,-2.431,8295,121,1.477,0.473,32.1,0.62,42,1.093,74.1,0.421,28.5,0.189,17.3,0.631,57.7,0.273,25,0.303,20.5,0.317,21.5,,74.1,97252
110,110,L,,,0.977,0.776,,,78.84,64,0.81,0,95.422,,,8359,124,1.522,0.382,27,0.595,42,0.977,68.9,0.473,31.1,0.225,23,0.58,59.4,0.172,17.6,0.317,22.4,0.278,19.6,,68.9,98028
111,111,R,,,1.018,0.699,,,81.36,56,0.81,0,96.121,,-8.035,8415,120,1.475,0.44,29.5,0.578,38.7,1.018,68.1,0.382,25.9,0.136,13.4,0.67,65.8,0.212,20.8,0.278,18.6,0.3,20.1,,68.1,98727
112,112,L,,,1.063,0.718,,,84.69,63,0.84,0.01,96.839,,,8478,119,1.417,0.476,32.8,0.587,40.4,1.063,73.2,0.44,31.1,0.244,23,0.6,56.4,0.219,20.6,0.3,20.7,0.287,19.8,,73.2,99445
113,113,R,,,0.995,0.776,,,80.32,63,0.84,0,97.615,,5.315,8540,126,1.494,0.389,27.5,0.606,42.9,0.995,70.4,0.476,31.9,0.156,15.7,0.622,62.5,0.217,21.8,0.287,20.3,0.319,22.6,,70.4,100221
114,114,L,,,1.016,0.676,,,82.64,58,0.83,0,98.291,,,8599,121,1.452,0.418,28.8,0.598,41.2,1.016,70,0.389,26.8,0.154,15.2,0.684,67.3,0.178,17.5,0.319,22,0.279,19.2,,70,100897
115,115,R,,,1.039,0.737,,,84.93,63,0.86,0.01,99.028,,-0.098,8661,121,1.413,0.436,29.9,0.603,41.3,1.039,71.2,0.418,29.6,0.161,15.5,0.638,61.4,0.24,23.1,0.279,19.1,0.324,22.2,,71.2,101634
116,116,L,,,1.021,0.715,,,82.64,59,0.84,-0.01,99.743,,,8720,122,1.452,0.42,28.1,0.601,40.2,1.021,68.3,0.436,30,0.222,21.7,0.582,57,0.217,21.3,0.324,21.7,0.277,18.5,,68.3,102349
117,117,R,,,1.046,0.744,,,82.25,64,0.84,0,100.487,,-2.106,8784,123,1.459,0.473,32.9,0.573,39.9,1.046,72.8,0.42,28.8,0.166,15.9,0.65,62.1,0.23,22,0.277,19.3,0.296,20.6,,72.8,103093
118,118,L,,,0.959,0.75,,,80.32,63,0.85,0,101.237,,,8847,127,1.494,0.391,29,0.568,42.2,0.959,71.2,0.473,31.7,0.2,20.9,0.566,59,0.193,20.1,0.296,22,0.272,20.2,,71.2,103843
119,119,R,,,1,0.687,,,83.51,59,0.85,0,101.924,,-6.674,8906,122,1.437,0.387,27.7,0.613,43.9,1,71.6,0.391,27.2,0.165,16.5,0.57,57,0.265,26.5,0.272,19.5,0.341,24.4,,71.6,104530
120,120,L,,,1.031,0.659,,,89.15,59,0.88,0.01,102.583,,,8965,118,1.346,0.396,27.9,0.635,44.8,1.031,72.7,0.387,28.8,0.192,18.6,0.62,60.1,0.219,21.3,0.341,24,0.294,20.7,,72.7,105189
121,121,R,,,1.01,0.737,,,85.96,58,0.84,-0.01,103.32,,2.522,9024,117,1.396,0.387,26.4,0.623,42.5,1.01,68.9,0.396,28.4,0.141,14,0.631,62.5,0.238,23.5,0.294,20.1,0.329,22.5,,68.9,105926
122,122,L,,,1.069,0.681,,,84.63,56,0.8,-0.01,104.001,,,9080,114,1.418,0.455,30.6,0.614,41.3,1.069,72,0.387,27.3,0.18,16.8,0.7,65.5,0.189,17.7,0.329,22.2,0.285,19.2,,72,106607
123,123,R,,,1.017,0.784,,,81.91,61,0.8,0,104.785,,5.192,9141,117,1.465,0.416,29.2,0.601,42.1,1.017,71.3,0.455,31.1,0.207,20.4,0.587,57.7,0.223,21.9,0.285,20,0.316,22.2,,71.3,107391
124,124,L,,,1.006,0.701,,,80.81,59,0.81,0,105.486,,,9201,120,1.485,0.409,29.5,0.597,43,1.006,72.5,0.416,28,0.194,19.3,0.624,62,0.188,18.7,0.316,22.8,0.281,20.3,,72.5,108092
125,125,R,,,0.993,0.725,,,84.15,55,0.8,0,106.211,,0.099,9256,114,1.426,0.381,27.1,0.612,43.5,0.993,70.6,0.409,28.7,0.131,13.2,0.619,62.3,0.243,24.5,0.281,20,0.331,23.5,,70.6,108817
126,126,L,,,1.061,0.662,,,86.52,59,0.82,0.01,106.873,,,9315,114,1.387,0.413,27.5,0.648,43.2,1.061,70.7,0.381,27.5,0.157,14.8,0.7,66,0.204,19.2,0.331,22.1,0.317,21.1,,70.7,109479
127,127,R,,,1.091,0.744,,,85.35,60,0.85,0.01,107.617,,1.791,9376,119,1.406,0.44,30,0.651,44.4,1.091,74.4,0.413,29.4,0.186,17,0.666,61,0.239,22,0.317,21.6,0.334,22.8,,74.4,110223
128,128,L,,,1.003,0.757,,,79.95,60,0.8,-0.02,108.374,,,9436,120,1.501,0.375,26.9,0.628,45.1,1.003,72,0.44,29.3,0.204,20.3,0.613,61.1,0.186,18.6,0.334,24,0.294,21.1,,72,110980
129,129,R,,,1.005,0.709,,,81.86,56,0.79,0,109.083,,-4.487,9493,116,1.466,0.39,28.2,0.615,44.4,1.005,72.6,0.375,25.6,0.15,14.9,0.589,58.6,0.266,26.5,0.294,21.2,0.321,23.2,,72.6,111689
130,130,L,,,1.039,0.684,,,86.15,59,0.83,0.01,109.767,,,9552,115,1.393,0.379,26.5,0.66,46.2,1.039,72.7,0.39,28,0.144,13.9,0.685,65.9,0.21,20.2,0.321,22.5,0.339,23.7,,72.7,112373
131,131,R,,,1.065,0.7,,,86.71,58,0.85,0.01,110.467,,0.385,9610,117,1.384,0.39,26.4,0.675,45.6,1.065,72,0.379,27.4,0.164,15.4,0.651,61.1,0.25,23.5,0.339,22.9,0.336,22.7,,72,113073
132,132,L,,,1.04,0.729,,,83.97,65,0.86,0.01,111.196,,,9675,123,1.429,0.415,28.8,0.625,43.4,1.04,72.2,0.39,27.3,0.213,20.5,0.617,59.3,0.21,20.2,0.336,23.3,0.289,20.1,,72.2,113802
133,133,R,,,1.045,0.751,,,81.08,60,0.84,-0.01,111.947,,-1.442,9735,125,1.48,0.401,28.2,0.644,45.3,1.045,73.5,0.415,28,0.171,16.4,0.646,61.8,0.228,21.8,0.289,20.3,0.355,25,,73.5,114553
134,134,L,,,1.013,0.69,,,83.28,54,0.79,-0.02,112.637,,,9790,114,1.441,0.376,26.8,0.637,45.5,1.013,72.3,0.401,27.8,0.176,17.4,0.649,64.1,0.188,18.5,0.355,25.3,0.282,20.1,,72.3,115243
135,135,R,,,0.967,0.731,,,84.45,64,0.83,0.01,113.368,,0.691,9853,118,1.421,0.388,28,0.579,41.7,0.967,69.7,0.376,26.5,0.152,15.7,0.589,60.9,0.226,23.4,0.282,20.3,0.297,21.4,,69.7,115974
136,136,L,,,1.028,0.67,,,85.65,59,0.88,0.02,114.038,,,9913,123,1.401,0.42,28.9,0.608,41.8,1.028,70.8,0.388,27.7,0.135,13.1,0.699,68,0.194,18.9,0.297,20.4,0.311,21.4,,70.8,116644
137,137,R,,,1.032,0.717,,,86.52,59,0.85,-0.01,114.755,,2.772,9972,118,1.387,0.425,30.2,0.607,43.2,1.032,73.4,0.42,30.3,0.159,15.4,0.667,64.6,0.206,20,0.311,22.1,0.296,21.1,,73.4,117361
138,138,L,,,0.987,0.736,,,82.59,59,0.81,-0.01,115.491,,,10031,118,1.453,0.374,27,0.613,44.3,0.987,71.4,0.425,29.2,0.189,19.1,0.614,62.2,0.184,18.7,0.296,21.4,0.317,22.9,,71.4,118097
139,139,R,,,1.052,0.67,,,85.35,53,0.8,-0.01,116.161,,-5.572,10084,112,1.406,0.396,26.6,0.656,44.1,1.052,70.7,0.374,26.6,0.152,14.4,0.683,64.9,0.217,20.7,0.317,21.3,0.339,22.8,,70.7,118767
140,140,L,,,1.073,0.713,,,86.77,60,0.82,0.01,116.874,,,10145,113,1.383,0.436,29.3,0.637,42.9,1.073,72.2,0.396,28.6,0.199,18.5,0.657,61.2,0.217,20.3,0.339,22.8,0.298,20.1,,72.2,119480
141,141,R,,,1.028,0.775,,,80.65,60,0.81,0,117.649,,3.075,10205,120,1.488,0.413,27.5,0.615,40.9,1.028,68.4,0.436,29.3,0.212,20.6,0.599,58.3,0.217,21.1,0.298,19.8,0.317,21.1,,68.4,120255
142,142,L,,,1.079,0.711,,,80.75,57,0.79,-0.01,118.36,,,10263,117,1.486,0.476,31.1,0.603,39.4,1.079,70.5,0.413,27.8,0.255,23.6,0.577,53.5,0.247,22.9,0.317,20.7,0.286,18.7,,70.5,120966
143,143,R,,,1.059,0.793,,,79.79,64,0.8,0.01,119.153,,3.29,10326,121,1.504,0.451,30,0.608,40.5,1.059,70.5,0.476,31.6,0.187,17.7,0.615,58.1,0.257,24.2,0.286,19,0.322,21.4,,70.5,121759
144,144,L,,,1.052,0.737,,,78.43,61,0.82,0,119.89,,,10388,125,1.53,0.443,29.5,0.609,40.5,1.052,69.9,0.451,29.5,0.209,19.9,0.601,57.1,0.242,23,0.322,21.4,0.287,19.1,,69.9,122496
145,145,R,,,1.061,0.765,,,79.89,65,0.84,0.01,120.655,,-0.76,10452,126,1.502,0.452,29.9,0.609,40.2,1.061,70.1,0.443,29.5,0.204,19.2,0.589,55.5,0.268,25.3,0.287,19,0.322,21.3,,70.1,123261
146,146,L,,,1.064,0.739,,,79.79,64,0.86,0.01,121.394,,,10516,129,1.504,0.453,30.6,0.611,41.2,1.064,71.8,0.452,30.1,0.249,23.4,0.593,55.7,0.222,20.9,0.322,21.7,0.289,19.5,,71.8,124000
147,147,R,,,1.023,0.775,,,79.26,63,0.84,-0.01,122.169,,2.068,10578,127,1.514,0.418,28.8,0.605,41.7,1.023,70.5,0.453,29.9,0.214,20.9,0.566,55.3,0.243,23.8,0.289,19.9,0.316,21.8,,70.5,124775
148,148,L,,,1.021,0.707,,,80.97,63,0.85,0,122.876,,,10641,126,1.482,0.428,28.8,0.593,39.9,1.021,68.8,0.418,28.2,0.201,19.7,0.599,58.7,0.221,21.6,0.316,21.3,0.277,18.7,,68.8,125482
149,149,R,,,1.074,0.744,,,82.7,64,0.88,0.01,123.62,,-2.693,10704,127,1.451,0.464,31.7,0.61,41.7,1.074,73.5,0.428,29.5,0.23,21.4,0.6,55.9,0.244,22.7,0.277,18.9,0.333,22.8,,73.5,126226
150,150,L,,,0.995,0.741,,,80.81,60,0.84,-0.01,124.361,,,10765,124,1.485,0.388,27.3,0.607,42.8,0.995,70.1,0.464,31.2,0.236,23.7,0.563,56.6,0.196,19.7,0.333,23.5,0.274,19.3,,70.1,126967
151,151,R,,,1.011,0.721,,,82.08,58,0.81,-0.01,125.082,,-4.774,10823,118,1.462,0.424,30.5,0.587,42.2,1.011,72.7,0.388,26.5,0.152,15,0.603,59.6,0.256,25.4,0.274,19.7,0.313,22.5,,72.7,127688
152,152,L,,,0.998,0.698,,,84.57,67,0.88,0.03,125.78,,,10890,125,1.419,0.38,27.4,0.618,44.6,0.998,72,0.424,29.9,0.201,20.1,0.593,59.4,0.204,20.5,0.313,22.6,0.305,22,,72,128386
153,153,R,,,1.002,0.693,,,86.27,59,0.91,0.01,126.473,,-0.852,10949,126,1.391,0.388,26.6,0.614,42.1,1.002,68.7,0.38,27.3,0.199,19.9,0.586,58.5,0.217,21.6,0.305,20.9,0.309,21.2,,68.7,129079
154,154,L,,,1.068,0.693,,,86.58,60,0.86,-0.02,127.166,,,11010,119,1.386,0.457,30.8,0.611,41.2,1.068,72.1,0.388,28,0.171,16,0.697,65.3,0.2,18.7,0.309,20.9,0.302,20.4,,72.1,129772
155,155,R,,,1.011,0.766,,,82.25,64,0.85,0,127.932,,5.758,11073,124,1.459,0.414,28.8,0.597,41.6,1.011,70.4,0.457,31.3,0.226,22.4,0.581,57.5,0.204,20.1,0.302,21,0.295,20.5,,70.4,130538
156,156,L,,,1.018,0.716,,,80.97,63,0.86,0,128.648,,,11136,127,1.482,0.425,30.1,0.593,42,1.018,72,0.414,27.9,0.234,23,0.568,55.8,0.216,21.2,0.295,20.9,0.298,21.1,,72,131254
157,157,R,,,1.047,0.72,,,83.57,60,0.86,0,129.368,,-1.081,11196,123,1.436,0.395,26.4,0.652,43.6,1.047,70,0.425,29.6,0.18,17.2,0.604,57.7,0.263,25.1,0.298,19.9,0.354,23.7,,70,131974
158,158,L,,,1.107,0.693,,,84.93,55,0.81,-0.01,130.061,,,11252,115,1.413,0.448,29.1,0.659,42.9,1.107,72,0.395,28,0.159,14.4,0.726,65.6,0.222,20,0.354,23,0.305,19.8,,72,132667
159,159,R,,,1.071,0.802,,,80.27,65,0.8,0,130.863,,4.336,11316,120,1.495,0.43,28.7,0.641,42.8,1.071,71.4,0.448,30,0.205,19.1,0.632,59,0.234,21.9,0.305,20.3,0.336,22.4,,71.4,133469
160,160,L,,,1.07,0.735,,,78.07,58,0.8,0,131.598,,,11374,123,1.537,0.428,28.2,0.642,42.3,1.07,70.4,0.43,28,0.212,19.8,0.615,57.5,0.243,22.7,0.336,22.1,0.306,20.1,,70.4,134204
161,161,R,,,1.098,0.764,,,80.05,63,0.81,0,132.362,,-1.355,11437,121,1.499,0.449,29.7,0.649,42.9,1.098,72.6,0.428,28.6,0.225,20.5,0.605,55.1,0.268,24.4,0.306,20.2,0.343,22.7,,72.6,134968
162,162,L,,,1.038,0.755,,,79,63,0.83,0.01,133.117,,,11500,126,1.519,0.415,28.3,0.623,42.6,1.038,70.9,0.449,29.6,0.245,23.6,0.567,54.6,0.226,21.8,0.343,23.4,0.28,19.1,,70.9,135723
163,163,R,,,1.072,0.758,,,79.31,64,0.84,0,133.875,,-4.528,11563,127,1.513,0.426,28,0.646,42.5,1.072,70.5,0.415,27.4,0.184,17.2,0.644,60.1,0.244,22.7,0.28,18.4,0.366,24.1,,70.5,136481
164,164,L,,,1.138,0.706,,,81.97,56,0.82,-0.01,134.581,,,11619,120,1.464,0.448,28.4,0.69,43.8,1.138,72.3,0.426,29.1,0.171,15,0.724,63.6,0.243,21.4,0.366,23.2,0.324,20.6,,72.3,137187
165,165,R,,,1.077,0.814,,,78.95,66,0.8,-0.01,135.395,,5.58,11685,122,1.52,0.437,29.2,0.64,42.8,1.077,72,0.448,29.5,0.236,21.9,0.583,54.1,0.258,24,0.324,21.7,0.316,21.1,,72,138001
166,166,L,,,1.035,0.761,,,76.19,64,0.83,0.01,136.156,,,11749,130,1.575,0.419,28.9,0.616,42.4,1.035,71.3,0.437,27.7,0.228,22,0.573,55.4,0.234,22.6,0.316,21.8,0.3,20.7,,71.3,138762
167,167,R,,,1.019,0.735,,,80.21,61,0.84,0,136.891,,-1.256,11810,125,1.496,0.417,28.8,0.602,41.5,1.019,70.3,0.419,28,0.194,19,0.583,57.2,0.242,23.8,0.3,20.7,0.302,20.8,,70.3,139497
168,168,L,,,1.026,0.717,,,82.64,59,0.83,0,137.608,,,11869,120,1.452,0.431,28.7,0.595,39.6,1.026,68.2,0.417,28.7,0.189,18.4,0.593,57.8,0.244,23.8,0.302,20.1,0.293,19.5,,68.2,140214
169,169,R,,,1.086,0.733,,,82.76,67,0.87,0.01,138.341,,-2.583,11936,126,1.45,0.478,31.2,0.608,39.7,1.086,70.8,0.431,29.7,0.181,16.7,0.676,62.2,0.229,21.1,0.293,19.1,0.315,20.5,,70.8,140947
170,170,L,,,1.05,0.771,,,79.79,61,0.85,-0.01,139.112,,,11998,128,1.504,0.447,29.5,0.603,39.8,1.05,69.3,0.478,31.8,0.251,23.9,0.577,55,0.222,21.1,0.315,20.8,0.288,19,,69.3,141718
171,171,R,,,1.067,0.762,,,78.28,65,0.82,-0.01,139.874,,-2.524,12062,126,1.533,0.466,31.1,0.601,40.1,1.067,71.2,0.447,29.2,0.208,19.5,0.616,57.7,0.243,22.8,0.288,19.2,0.313,20.9,,71.2,142480
172,172,L,,,1.011,0.754,,,79.16,64,0.85,0.01,140.628,,,12126,129,1.516,0.431,29.3,0.58,39.4,1.011,68.7,0.466,30.7,0.225,22.3,0.589,58.3,0.197,19.4,0.313,21.3,0.267,18.2,,68.7,143234
173,173,R,,,1.044,0.744,,,80.11,63,0.85,0,141.372,,-4.402,12188,127,1.498,0.46,31.6,0.584,40.1,1.044,71.7,0.431,28.8,0.172,16.5,0.636,60.9,0.236,22.6,0.267,18.3,0.317,21.8,,71.7,143978
174,174,L,,,1.043,0.727,,,81.58,61,0.84,0,142.099,,,12250,124,1.471,0.412,28.3,0.631,43.4,1.043,71.7,0.46,31.3,0.22,21.1,0.599,57.4,0.224,21.5,0.317,21.8,0.314,21.6,,71.7,144705
175,175,R,,,1.047,0.729,,,82.42,60,0.83,0,142.828,,-0.24,12310,121,1.456,0.412,29.1,0.635,44.9,1.047,74,0.412,28.3,0.212,20.2,0.578,55.2,0.257,24.6,0.314,22.2,0.321,22.7,,74,145434
176,176,L,,,0.994,0.726,,,82.47,61,0.83,0,143.554,,,12372,121,1.455,0.368,25.2,0.626,42.8,0.994,68,0.412,28.3,0.205,20.6,0.58,58.4,0.209,21,0.321,22,0.305,20.9,,68,146160
177,177,R,,,1.087,0.689,,,84.81,57,0.83,0,144.243,,-7.344,12429,118,1.415,0.467,31.6,0.62,41.9,1.087,73.5,0.368,26,0.166,15.3,0.691,63.6,0.23,21.1,0.305,20.6,0.315,21.3,,73.5,146849
178,178,L,,,1.012,0.772,,,82.14,65,0.84,0,145.015,,,12494,122,1.461,0.392,26.9,0.62,42.6,1.012,69.5,0.467,32,0.251,24.8,0.564,55.7,0.197,19.5,0.315,21.6,0.305,20.9,,69.5,147621
179,179,R,,,1.084,0.707,,,81.14,57,0.82,0,145.722,,-7.263,12551,122,1.479,0.445,29.2,0.639,42,1.084,71.2,0.392,26.5,0.193,17.8,0.632,58.3,0.259,23.9,0.305,20,0.334,21.9,,71.2,148328
180,180,L,,,1.08,0.75,,,82.36,61,0.81,-0.01,146.472,,,12612,118,1.457,0.439,29,0.641,42.3,1.08,71.3,0.445,30.5,0.21,19.4,0.644,59.6,0.226,21,0.334,22,0.307,20.3,,71.3,149078
181,181,R,,,1.078,0.773,,,78.79,61,0.8,0,147.245,,-0.093,12674,122,1.523,0.435,27.7,0.643,40.9,1.078,68.5,0.439,28.8,0.209,19.4,0.614,57,0.255,23.6,0.307,19.5,0.336,21.4,,68.5,149851
182,182,L,,,1.161,0.742,,,79.21,63,0.82,0.01,147.987,,,12736,124,1.515,0.495,30.3,0.666,40.8,1.161,71.2,0.435,28.7,0.205,17.7,0.577,49.7,0.379,32.6,0.336,20.6,0.33,20.2,,71.2,150593
183,183,R,,,1.064,0.831,,,76.29,71,0.85,0.01,148.818,,7.752,12807,134,1.573,0.47,27.2,0.594,34.4,1.064,61.6,0.495,31.5,0.205,19.3,0.471,44.3,0.388,36.4,0.33,19.1,0.264,15.3,,61.6,151424
184,184,L,,,1.217,0.8,,,73.57,75,0.9,0.01,149.618,,,12882,146,1.631,0.663,35.2,0.554,29.4,1.217,64.6,0.47,28.8,0.156,12.8,0.632,51.9,0.429,35.3,0.264,14,0.29,15.4,,64.6,152224
185,185,R,,,1.152,0.927,,,69.48,70,0.84,-0.02,150.545,,8.956,12952,145,1.727,0.667,35.7,0.485,26,1.152,61.7,0.663,38.4,0.161,14,0.265,23,0.726,63,0.29,15.5,0.195,10.5,,61.7,153151
186,186,L,,,1.093,0.957,,,63.69,81,0.8,-0.01,151.502,,,13033,151,1.884,0.714,34.8,0.379,18.5,1.093,53.3,0.667,35.4,0.158,14.5,0.385,35.2,0.55,50.3,0.195,9.5,0.184,9,,53.3,154108
187,187,R,,,1.183,0.909,,,64.31,81,0.87,0.02,152.411,,-6.816,13115,162,1.866,0.959,,0.224,,1.183,,0.714,38.3,0.201,17,0.349,29.5,0.633,53.5,0.184,,0.04,,,,155017
188,188,L,,,1.092,1.143,,,58.48,91,0.84,-0.01,153.554,,,13205,172,2.052,,,,,1.092,,0.959,46.7,0.14,12.8,0.19,17.4,0.762,69.8,0.04,,,,,,156160
189,189,R,,1.052,0.513,,135.7,0.47,27.99,40,0.19,-0.16,154.646,85.784,22.344,13245,131,,,,,,0.513,50.9,,,0.01,1.9,0.09,17.5,0.413,80.6,,,0.451,,49.1,50.9,157252
190,190,L,,,0.94,0.062,,,,54,,,154.708,,,13299,94,,,,,,0.94,,,,0.213,22.7,0.128,13.6,0.599,63.7,0.451,,,,,,157314
191,191,R,,0.489,0.636,,29.3,0.7,41.99,41,0.29,0.03,155.648,70.726,38.883,13340,95,,,,,,0.636,65.8,,,0.001,0.2,0.131,20.6,0.504,79.2,,,0.326,,34.2,65.8,158254
192,192,L,,,0.827,0.31,,,,60,,,155.958,,,13400,101,,,,,,0.827,,,,0.183,22.1,0.128,15.5,0.516,62.4,0.326,,,,,,158564
193,193,R,,0.501,0.767,,30.8,0.75,45.18,40,0.3,0.01,156.785,71.995,15.175,13440,100,,,,,,0.767,62.3,,,0.003,0.4,0.095,12.4,0.669,87.2,,,,,37.7,62.3,159391
194,194,L,,0.767,0.339,,72.1,0.65,39.11,42,0.27,-0.01,157.552,81.716,,13481,82,,,,,,0.339,50,,,0.023,6.8,0.058,17.1,0.258,76.1,,,,,50,50,160158
195,195,R,,0.339,0.428,,14.1,1.47,88.5,41,0.6,0.15,157.891,53.96,-76.254,13522,83,,,,,,0.428,50,,,0.008,1.9,0.038,8.9,0.382,89.2,,,,,50,50,160497
196,196,L,,0.428,0.629,,22.5,1.17,70.09,41,0.48,-0.08,158.319,65.465,,13563,82,,,,,,0.629,50,,,0.041,6.5,0.1,15.9,0.488,77.6,,,,,50,50,160925
197,197,R,,0.629,0.646,,48.5,0.79,47.69,41,0.33,-0.07,158.948,78.066,14.626,13603,82,,,,,,0.646,50,,,0.039,6,0.074,11.5,0.533,82.5,,,,,50,50,161554
198,198,L,,0.646,0.6,,51.2,0.77,46.44,42,0.33,0,159.594,78.401,,13645,83,,,,,,0.6,50,,,0.015,2.5,0.124,20.7,0.461,76.8,,,,,50,50,162200
199,199,R,,0.6,0.557,,44.1,0.83,50,42,0.35,0.01,160.194,76.616,-0.25,13687,84,,,,,,0.557,50,,,0.014,2.5,0.075,13.5,0.468,84,,,,,50,50,162800
200,200,L,,0.557,0.653,,38,0.9,53.86,41,0.37,0.01,160.751,74.916,,13727,83,,,,,,0.653,50,,,0.035,5.4,0.084,12.9,0.534,81.7,,,,,50,50,163357
201,201,R,,0.653,,,52.3,0.77,45.94,50,0.38,0.01,161.404,76.551,,13777,91,,,,,,,50,,,,,,,,,,,,,50,50,164010
202,External trigger STOP,,164.998,,,,,,,,,,162.392,,,,,,,,,,,,,,,,,,,,,,,,,,164998
