,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
24,24,L,,,1.08,0.745,,,82.25,66,0.84,-0.01,33.454,,,3191,122,1.459,0.458,30,0.622,40.8,1.08,70.8,0.441,30.2,0.235,21.8,0.605,56,0.24,22.2,0.308,20.2,0.314,20.6,,70.8,36060
25,25,R,,,1.055,0.766,,,79.42,61,0.84,0,34.22,,2.407,3252,127,1.511,0.446,29.7,0.609,40.5,1.055,70.1,0.458,30.3,0.188,17.8,0.615,58.3,0.252,23.9,0.314,20.9,0.295,19.6,,70.1,36826
26,26,L,,,1.042,0.76,,,78.64,65,0.83,0,34.98,,,3317,126,1.526,0.449,30.3,0.593,40,1.042,70.3,0.446,29.2,0.212,20.3,0.606,58.2,0.224,21.5,0.295,19.9,0.298,20.1,,70.3,37586
27,27,R,,,1.045,0.744,,,79.79,60,0.83,0,35.724,,-0.768,3377,125,1.504,0.441,29.8,0.604,40.8,1.045,70.5,0.449,29.9,0.18,17.2,0.618,59.1,0.247,23.7,0.298,20.1,0.306,20.6,,70.5,38330
28,28,L,,,1.036,0.739,,,80.92,63,0.83,0,36.463,,,3440,123,1.483,0.437,29.4,0.599,40.3,1.036,69.7,0.441,29.7,0.24,23.2,0.567,54.7,0.229,22.1,0.306,20.6,0.293,19.7,,69.7,39069
29,29,R,,,1.047,0.743,,,80.97,63,0.85,0.01,37.206,,-0.965,3502,126,1.482,0.45,30.8,0.597,40.8,1.047,71.6,0.437,29.5,0.218,20.8,0.585,55.9,0.244,23.3,0.293,20,0.304,20.8,,71.6,39812
30,30,L,,,1.023,0.743,,,80.75,64,0.85,0,37.949,,,3566,127,1.486,0.415,28.5,0.608,41.7,1.023,70.2,0.45,30.3,0.218,21.3,0.603,58.9,0.202,19.8,0.304,20.9,0.304,20.9,,70.2,40555
31,31,R,,,1.038,0.719,,,82.08,57,0.83,-0.01,38.668,,-1.906,3623,121,1.462,0.434,29.2,0.604,40.6,1.038,69.8,0.415,28.4,0.204,19.7,0.568,54.7,0.266,25.6,0.304,20.4,0.3,20.2,,69.8,41274
32,32,L,,,1.05,0.738,,,82.36,65,0.84,0,39.406,,,3688,122,1.457,0.449,30.5,0.601,40.8,1.05,71.3,0.434,29.8,0.207,19.7,0.621,59.1,0.222,21.2,0.3,20.4,0.301,20.4,,71.3,42012
33,33,R,,,1.044,0.749,,,80.7,60,0.84,0,40.155,,0.857,3748,125,1.487,0.422,29.4,0.622,43.3,1.044,72.8,0.449,30.2,0.172,16.5,0.607,58.1,0.265,25.4,0.301,21,0.321,22.4,,72.8,42761
34,34,L,,,1.036,0.723,,,81.52,63,0.84,0,40.878,,,3811,123,1.472,0.391,26.3,0.645,43.3,1.036,69.6,0.422,28.7,0.304,29.3,0.518,50,0.214,20.7,0.321,21.6,0.324,21.8,,69.6,43484
35,35,R,,,1.086,0.712,,,83.62,55,0.82,0,41.59,,-2.799,3866,118,1.435,0.452,30.2,0.634,42.4,1.086,72.5,0.391,27.2,0.177,16.3,0.643,59.2,0.266,24.5,0.324,21.6,0.31,20.7,,72.5,44196
36,36,L,,,0.99,0.776,,,80.65,69,0.83,0,42.366,,,3935,124,1.488,0.411,29.2,0.579,41.2,0.99,70.4,0.452,30.4,0.212,21.4,0.598,60.4,0.18,18.2,0.31,22,0.269,19.1,,70.4,44972
37,37,R,,,1.009,0.721,,,80.16,59,0.86,0.01,43.087,,-5.808,3994,128,1.497,0.416,28.6,0.593,40.8,1.009,69.4,0.411,27.5,0.201,19.9,0.572,56.7,0.236,23.4,0.269,18.5,0.324,22.3,,69.4,45693
38,38,L,,,1.054,0.685,,,85.35,59,0.84,-0.01,43.772,,,4053,118,1.406,0.444,29.2,0.61,40.1,1.054,69.3,0.416,29.6,0.208,19.7,0.608,57.7,0.238,22.6,0.324,21.3,0.286,18.8,,69.3,46378
39,39,R,,,1.057,0.768,,,82.59,64,0.85,0,44.54,,1.992,4117,123,1.453,0.466,31.4,0.591,39.9,1.057,71.3,0.444,30.6,0.166,15.7,0.633,59.9,0.258,24.4,0.286,19.3,0.305,20.6,,71.3,47146
40,40,L,,,1.037,0.752,,,78.95,64,0.84,0,45.292,,,4181,128,1.52,0.425,29.7,0.612,42.8,1.037,72.6,0.466,30.7,0.251,24.2,0.584,56.3,0.202,19.5,0.305,21.3,0.307,21.5,,72.6,47898
41,41,R,,,1.04,0.73,,,80.97,56,0.81,-0.01,46.022,,-1.109,4237,120,1.482,0.392,27,0.648,44.7,1.04,71.7,0.425,28.7,0.183,17.6,0.584,56.2,0.273,26.2,0.307,21.2,0.341,23.5,,71.7,48628
42,42,L,,,1.058,0.699,,,83.97,60,0.81,0,46.721,,,4297,116,1.429,0.41,27.3,0.648,43.1,1.058,70.3,0.392,27.4,0.175,16.5,0.668,63.1,0.215,20.4,0.341,22.7,0.307,20.4,,70.3,49327
43,43,R,,,1.061,0.751,,,82.76,63,0.85,0.01,47.472,,0.709,4360,123,1.45,0.446,30.5,0.615,42,1.061,72.5,0.41,28.3,0.208,19.6,0.581,54.8,0.272,25.6,0.307,21,0.308,21,,72.5,50078
44,44,L,,,1.03,0.753,,,79.79,66,0.86,0,48.225,,,4425,129,1.504,0.403,28.3,0.627,44.1,1.03,72.4,0.446,29.7,0.237,23,0.589,57.2,0.204,19.8,0.308,21.7,0.319,22.4,,72.4,50831
45,45,R,,,1.016,0.711,,,81.97,55,0.83,-0.01,48.936,,-0.825,4481,121,1.464,0.392,28.3,0.624,45,1.016,73.3,0.403,27.5,0.169,16.6,0.619,60.9,0.228,22.5,0.319,23,0.305,22,,73.3,51542
46,46,L,,,0.985,0.711,,,84.39,63,0.83,0,49.647,,,4543,118,1.422,0.37,26.8,0.615,44.6,0.985,71.4,0.392,27.6,0.166,16.9,0.637,64.7,0.182,18.4,0.305,22.1,0.31,22.5,,71.4,52253
47,47,R,,,1.048,0.675,,,86.58,58,0.87,0.02,50.322,,-4.772,4601,121,1.386,0.395,27.1,0.653,44.9,1.048,72,0.37,26.7,0.199,19,0.616,58.8,0.233,22.2,0.31,21.3,0.343,23.6,,72,52928
48,48,L,,,1.052,0.705,,,86.96,58,0.84,-0.01,51.027,,,4660,116,1.38,0.407,27.8,0.645,44.1,1.052,72,0.395,28.6,0.175,16.6,0.677,64.4,0.2,19,0.343,23.5,0.302,20.7,,72,53633
49,49,R,,,1.001,0.75,,,82.47,61,0.82,-0.01,51.777,,2.614,4721,119,1.455,0.41,29.7,0.591,42.8,1.001,72.4,0.407,28,0.174,17.4,0.59,58.9,0.237,23.7,0.302,21.9,0.289,20.9,,72.4,54383
50,50,L,,,0.977,0.712,,,82.08,64,0.85,0.01,52.489,,,4785,125,1.462,0.381,27.6,0.596,43.2,0.977,70.8,0.41,28,0.194,19.9,0.603,61.7,0.18,18.4,0.289,20.9,0.307,22.2,,70.8,55095
51,51,R,,,1.058,0.67,,,86.83,54,0.85,0,53.159,,-5.374,4839,118,1.382,0.403,27.9,0.655,45.4,1.058,73.4,0.381,27.6,0.153,14.5,0.665,62.9,0.24,22.6,0.307,21.3,0.348,24.1,,73.4,55765
