,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
59,59,R,,,0.934,0.625,,,99.09,63,1.01,-0.01,57.507,,-1.228,6478,122,1.211,0.395,30.4,0.539,41.5,0.934,72,0.331,27.3,0.138,14.8,0.589,63.1,0.207,22.1,0.271,20.9,0.268,20.6,,72,61174
60,60,L,,,0.879,0.666,,,92.95,70,1.03,0.01,58.173,,,6548,133,1.291,0.364,29.5,0.515,41.7,0.879,71.2,0.395,30.6,0.167,19,0.528,60.1,0.184,20.9,0.268,21.7,0.247,20,,71.2,61840
61,61,R,,,0.873,0.632,,,92.45,64,1.03,0,58.805,,-2.787,6611,134,1.298,0.355,27.9,0.518,40.7,0.873,68.5,0.364,28,0.149,17.1,0.538,61.6,0.186,21.3,0.247,19.4,0.271,21.3,,68.5,62472
62,62,L,,,0.91,0.602,,,97.24,63,1.03,0,59.407,,,6674,127,1.234,0.401,31,0.509,39.4,0.91,70.4,0.355,28.8,0.146,16,0.582,64,0.182,20,0.271,21,0.238,18.4,,70.4,63074
63,63,R,,,0.868,0.672,,,94.19,68,1.03,0,60.079,,4.341,6742,131,1.274,0.382,31.5,0.486,40,0.868,71.5,0.401,31.5,0.13,15,0.535,61.6,0.203,23.4,0.238,19.6,0.248,20.4,,71.5,63746
64,64,L,,,0.857,0.62,,,92.88,66,1.04,0,60.699,,,6807,134,1.292,0.346,28.3,0.511,41.8,0.857,70.1,0.382,29.6,0.157,18.3,0.528,61.6,0.172,20.1,0.248,20.3,0.263,21.5,,70.1,64366
65,65,R,,,0.898,0.594,,,98.85,59,1.03,0,61.293,,-3.034,6867,125,1.214,0.365,28.6,0.533,41.8,0.898,70.4,0.346,28.5,0.145,16.1,0.553,61.6,0.2,22.3,0.263,20.6,0.27,21.2,,70.4,64960
66,66,L,,,0.902,0.628,,,98.2,68,1.04,0,61.921,,,6935,127,1.222,0.378,29.4,0.524,40.8,0.902,70.2,0.365,29.9,0.145,16.1,0.583,64.6,0.174,19.3,0.27,21,0.254,19.8,,70.2,65588
67,67,R,,,0.878,0.648,,,94.04,67,1.06,0.01,62.569,,1.552,7001,135,1.276,0.383,30.4,0.495,39.3,0.878,69.7,0.378,29.6,0.171,19.5,0.511,58.2,0.196,22.3,0.254,20.2,0.241,19.1,,69.7,66236
68,68,L,,,0.838,0.637,,,93.39,64,1.02,-0.02,63.206,,,7065,131,1.285,0.382,30.7,0.456,36.6,0.838,67.3,0.383,29.8,0.143,17.1,0.526,62.8,0.169,20.1,0.241,19.3,0.215,17.3,,67.3,66873
69,69,R,,,0.909,0.623,,,95.24,66,1.03,0,63.829,,-6.623,7130,130,1.26,0.408,32.6,0.501,40,0.909,72.7,0.382,30.3,0.142,15.6,0.576,63.4,0.191,21,0.215,17.2,0.286,22.9,,72.7,67496
70,70,L,,,0.888,0.623,,,96.31,60,1.01,-0.01,64.452,,,7191,126,1.246,0.342,26.9,0.546,42.9,0.888,69.8,0.408,32.7,0.17,19.1,0.526,59.2,0.192,21.7,0.286,22.5,0.26,20.4,,69.8,68119
71,71,R,,,0.923,0.628,,,95.92,63,0.98,-0.01,65.08,,-3.153,7253,123,1.251,0.384,30,0.539,42.1,0.923,72.1,0.342,27.3,0.137,14.8,0.596,64.6,0.19,20.6,0.26,20.3,0.279,21.8,,72.1,68747
72,72,L,,,0.877,0.644,,,94.34,67,1.02,0.02,65.724,,,7320,130,1.272,0.357,28.5,0.52,41.5,0.877,70,0.384,30.2,0.184,21,0.509,58,0.184,21,0.279,22.3,0.241,19.2,,70,69391
73,73,R,,,0.891,0.636,,,93.75,66,1.04,0.01,66.36,,-3.421,7386,133,1.28,0.376,30.5,0.515,41.8,0.891,72.4,0.357,27.9,0.151,16.9,0.531,59.6,0.209,23.5,0.241,19.6,0.274,22.3,,72.4,70027
74,74,L,,,0.873,0.617,,,95.77,64,1.04,0,66.977,,,7449,130,1.253,0.34,26.9,0.533,42.1,0.873,69,0.376,30,0.169,19.4,0.513,58.8,0.191,21.8,0.274,21.7,0.259,20.5,,69,70644
75,75,R,,,0.906,0.614,,,97.48,64,1.04,0,67.591,,-2.921,7513,128,1.231,0.392,31.2,0.514,40.9,0.906,72,0.34,27.6,0.134,14.8,0.572,63.1,0.2,22.1,0.259,20.6,0.255,20.3,,72,71258
76,76,L,,,0.859,0.651,,,94.86,70,1.06,0.01,68.242,,,7583,134,1.265,0.352,28.8,0.507,41.4,0.859,70.2,0.392,31,0.161,18.7,0.506,58.9,0.192,22.4,0.255,20.8,0.252,20.6,,70.2,71909
77,77,R,,,0.887,0.607,,,95.39,63,1.06,0,68.849,,-4.366,7645,133,1.258,0.365,29.4,0.522,42,0.887,71.4,0.352,28,0.143,16.1,0.532,60,0.212,23.9,0.252,20.3,0.27,21.7,,71.4,72516
78,78,L,,,0.85,0.617,,,98.04,68,1.07,0.01,69.466,,,7713,131,1.224,0.355,28.6,0.495,39.8,0.85,68.4,0.365,29.8,0.154,18.1,0.521,61.3,0.175,20.6,0.27,21.7,0.225,18.1,,68.4,73133
79,79,R,,,0.873,0.625,,,96.62,69,1.1,0.01,70.091,,-3.529,7782,137,1.242,0.393,31.1,0.48,38,0.873,69.1,0.355,28.6,0.14,16,0.5,57.3,0.233,26.7,0.225,17.8,0.255,20.2,,69.1,73758
80,80,L,,,0.892,0.618,,,96.54,69,1.11,0,70.709,,,7850,138,1.243,0.39,30.9,0.502,39.8,0.892,70.7,0.393,31.6,0.163,18.3,0.536,60.1,0.193,21.6,0.255,20.2,0.247,19.6,,70.7,74376
81,81,R,,,0.899,0.645,,,95.01,63,1.05,-0.03,71.354,,0.673,7913,132,1.263,0.37,29.4,0.529,42.1,0.899,71.5,0.39,30.9,0.136,15.1,0.57,63.4,0.193,21.5,0.247,19.6,0.282,22.4,,71.5,75021
82,82,L,,,0.876,0.617,,,95.09,60,0.97,-0.03,71.971,,,7973,123,1.262,0.358,28.5,0.518,41.3,0.876,69.9,0.37,29.3,0.176,20.1,0.53,60.5,0.17,19.4,0.282,22.5,0.236,18.8,,69.9,75638
83,83,R,,,0.887,0.64,,,95.47,65,0.99,0.01,72.611,,-1.941,8038,125,1.257,0.378,30.3,0.509,40.8,0.887,71.1,0.358,28.5,0.152,17.1,0.524,59.1,0.211,23.8,0.236,18.9,0.273,21.9,,71.1,76278
84,84,L,,,0.876,0.614,,,95.69,65,1.04,0.02,73.225,,,8103,130,1.254,0.36,29.2,0.516,41.8,0.876,71,0.378,30.1,0.16,18.3,0.54,61.6,0.176,20.1,0.273,22.1,0.243,19.7,,71,76892
85,85,R,,,0.888,0.633,,,96.23,64,1.03,0,73.858,,-1.313,8166,129,1.247,0.358,29.4,0.53,43.5,0.888,72.8,0.36,28.9,0.152,17.1,0.541,60.9,0.195,22,0.243,19.9,0.287,23.5,,72.8,77525
86,86,L,,,0.867,0.601,,,97.24,60,1,-0.01,74.459,,,8227,124,1.234,0.331,27.2,0.536,44,0.867,71.2,0.358,29,0.143,16.5,0.549,63.3,0.175,20.2,0.287,23.6,0.249,20.4,,71.2,78126
87,87,R,,,0.871,0.618,,,98.44,65,1.03,0.01,75.077,,-1.442,8291,125,1.219,0.351,27.9,0.52,41.4,0.871,69.3,0.331,27.2,0.137,15.7,0.557,63.9,0.177,20.4,0.249,19.8,0.271,21.6,,69.3,78744
88,88,L,,,0.897,0.6,,,98.52,64,1.06,0.01,75.677,,,8355,129,1.218,0.386,30.7,0.511,40.7,0.897,71.4,0.351,28.8,0.14,15.6,0.579,64.5,0.178,19.9,0.271,21.6,0.24,19.1,,71.4,79344
89,89,R,,,0.872,0.657,,,95.47,68,1.05,0,76.334,,2.843,8422,132,1.257,0.359,29.7,0.513,42.4,0.872,72.1,0.386,30.7,0.162,18.6,0.527,60.4,0.183,21,0.24,19.8,0.273,22.6,,72.1,80001
90,90,L,,,0.875,0.599,,,95.54,59,1.01,-0.02,76.933,,,8482,127,1.256,0.338,27.4,0.537,43.6,0.875,71,0.359,28.6,0.16,18.3,0.518,59.2,0.197,22.5,0.273,22.2,0.264,21.4,,71,80600
91,91,R,,,0.919,0.611,,,99.17,64,1.02,0,77.544,,-2.343,8545,123,1.21,0.357,28.7,0.562,45.2,0.919,73.9,0.338,27.9,0.149,16.2,0.609,66.3,0.161,17.5,0.264,21.2,0.298,24,,73.9,81211
92,92,L,,,0.868,0.621,,,97.4,57,0.98,-0.01,78.165,,,8603,121,1.232,0.325,26.9,0.543,45,0.868,72,0.357,29,0.137,15.8,0.574,66.1,0.157,18.1,0.298,24.7,0.245,20.3,,72,81832
93,93,R,,,0.859,0.623,,,96.46,64,0.97,0,78.788,,-2.419,8666,121,1.244,0.338,27.6,0.521,42.5,0.859,70.1,0.325,26.1,0.124,14.4,0.553,64.4,0.182,21.2,0.245,20,0.276,22.5,,70.1,82455
94,94,L,,,0.885,0.583,,,99.5,64,1.06,0.04,79.371,,,8730,128,1.206,0.367,29.8,0.518,42.1,0.885,72,0.338,28,0.142,16,0.567,64.1,0.176,19.9,0.276,22.4,0.242,19.7,,72,83038
95,95,R,,,0.869,0.643,,,97.88,68,1.08,0.01,80.014,,2.373,8798,132,1.226,0.345,28.3,0.524,43.1,0.869,71.4,0.367,29.9,0.146,16.8,0.528,60.8,0.195,22.4,0.242,19.9,0.282,23.2,,71.4,83681
96,96,L,,,0.897,0.587,,,97.56,59,1.03,-0.02,80.601,,,8857,127,1.23,0.348,28,0.549,44.2,0.897,72.3,0.345,28,0.149,16.6,0.584,65.1,0.164,18.3,0.282,22.7,0.267,21.5,,72.3,84268
97,97,R,,,0.891,0.63,,,98.6,63,1,-0.01,81.231,,1.895,8920,122,1.217,0.344,27.6,0.547,43.8,0.891,71.4,0.348,28.6,0.147,16.5,0.561,63,0.183,20.5,0.267,21.4,0.28,22.4,,71.4,84898
98,98,L,,,0.871,0.611,,,96.7,63,1.02,0.01,81.842,,,8982,126,1.241,0.357,28.8,0.514,41.5,0.871,70.4,0.344,27.7,0.147,16.9,0.541,62.1,0.183,21,0.28,22.6,0.234,18.9,,70.4,85509
99,99,R,,,0.865,0.637,,,96.15,69,1.06,0.02,82.479,,-0.804,9051,132,1.248,0.367,29.9,0.498,40.6,0.865,70.6,0.357,28.6,0.15,17.3,0.513,59.3,0.202,23.4,0.234,19.1,0.264,21.5,,70.6,86146
100,100,L,,,0.872,0.601,,,96.93,65,1.08,0.01,83.08,,,9115,134,1.238,0.361,29.8,0.511,42.1,0.872,71.9,0.367,29.6,0.19,21.8,0.497,57,0.185,21.2,0.264,21.8,0.247,20.4,,71.9,86747
101,101,R,,,0.86,0.625,,,97.88,60,1.02,-0.03,83.705,,1.089,9176,125,1.226,0.341,28.4,0.519,43.2,0.86,71.6,0.361,29.4,0.155,18,0.498,57.9,0.207,24.1,0.247,20.6,0.272,22.6,,71.6,87372
102,102,L,,,0.868,0.588,,,98.93,61,1,-0.01,84.293,,,9237,121,1.213,0.341,27.7,0.527,42.8,0.868,70.6,0.341,28.1,0.142,16.4,0.562,64.7,0.164,18.9,0.272,22.1,0.255,20.7,,70.6,87960
103,103,R,,,0.885,0.613,,,99.92,63,1.03,0.01,84.906,,-0.518,9300,124,1.201,0.362,29.9,0.523,43.2,0.885,73,0.341,28.4,0.149,16.8,0.562,63.5,0.174,19.7,0.255,21,0.268,22.1,,73,88573
104,104,L,,,0.858,0.617,,,97.56,64,1.03,0,85.523,,,9363,127,1.23,0.327,27.6,0.531,44.9,0.858,72.5,0.362,29.4,0.157,18.3,0.523,61,0.178,20.7,0.268,22.7,0.263,22.2,,72.5,89190
105,105,R,,,0.881,0.595,,,99.01,59,1.01,-0.01,86.118,,-2.914,9423,123,1.212,0.325,26.8,0.556,45.8,0.881,72.6,0.327,27,0.148,16.8,0.555,63,0.178,20.2,0.263,21.7,0.293,24.1,,72.6,89785
106,106,L,,,0.887,0.588,,,101.44,58,0.99,-0.01,86.706,,,9481,117,1.183,0.333,27.4,0.554,45.5,0.887,72.9,0.325,27.5,0.159,17.9,0.56,63.1,0.168,19,0.293,24.1,0.261,21.4,,72.9,90373
107,107,R,,,0.873,0.626,,,98.85,65,1.01,0.01,87.332,,1.127,9546,123,1.214,0.33,26.4,0.543,43.5,0.873,70,0.333,27.4,0.149,17.1,0.557,63.8,0.167,19.1,0.261,20.9,0.282,22.6,,70,90999
108,108,L,,,0.904,0.591,,,98.6,57,1,0,87.923,,,9603,122,1.217,0.375,28.9,0.529,40.8,0.904,69.6,0.33,27.1,0.161,17.8,0.55,60.8,0.193,21.4,0.282,21.7,0.247,19,,69.6,91590
109,109,R,,,0.896,0.657,,,96.15,71,1.03,0.01,88.58,,2.157,9674,128,1.248,0.394,30.3,0.502,38.6,0.896,68.9,0.375,30,0.178,19.9,0.505,56.4,0.213,23.7,0.247,19,0.255,19.6,,68.9,92247
110,110,L,,,0.904,0.641,,,92.45,68,1.07,0.02,89.221,,,9742,139,1.298,0.404,31.3,0.5,38.8,0.904,70.1,0.394,30.4,0.207,22.9,0.483,53.4,0.214,23.7,0.255,19.8,0.245,19,,70.1,92888
111,111,R,,,0.887,0.659,,,92.31,67,1.04,-0.01,89.88,,1.383,9808,135,1.3,0.386,30.4,0.501,39.4,0.887,69.8,0.404,31.1,0.196,22.1,0.484,54.6,0.207,23.3,0.245,19.3,0.256,20.1,,69.8,93547
112,112,L,,,0.882,0.631,,,93.02,65,1.02,-0.01,90.511,,,9873,132,1.29,0.384,31.1,0.498,40.3,0.882,71.4,0.386,29.9,0.174,19.7,0.494,56,0.214,24.3,0.256,20.7,0.242,19.6,,71.4,94178
113,113,R,,,0.873,0.64,,,94.41,67,1.04,0.01,91.151,,0.227,9940,132,1.271,0.353,28.9,0.52,42.6,0.873,71.4,0.384,30.2,0.163,18.7,0.49,56.1,0.22,25.2,0.242,19.8,0.278,22.7,,71.4,94818
114,114,L,,,0.881,0.595,,,97.17,61,1.04,0,91.746,,,10001,128,1.235,0.349,27.5,0.532,41.9,0.881,69.4,0.353,28.6,0.176,20,0.537,61,0.168,19,0.278,21.9,0.254,20,,69.4,95413
115,115,R,,,0.901,0.627,,,98.2,64,1.02,-0.01,92.373,,-0.681,10065,125,1.222,0.389,30.8,0.512,40.5,0.901,71.2,0.349,28.6,0.154,17.1,0.551,61.2,0.196,21.7,0.254,20.1,0.258,20.4,,71.2,96040
116,116,L,,,0.867,0.643,,,94.49,68,1.04,0.01,93.016,,,10132,132,1.27,0.364,29.1,0.503,40.1,0.867,69.2,0.389,30.6,0.183,21.1,0.504,58.1,0.18,20.8,0.258,20.6,0.245,19.6,,69.2,96683
117,117,R,,,0.89,0.622,,,94.86,63,1.04,0,93.638,,-3.287,10195,131,1.265,0.386,31.6,0.504,41.2,0.89,72.8,0.364,28.8,0.17,19.1,0.497,55.8,0.223,25.1,0.245,20,0.259,21.2,,72.8,97305
118,118,L,,,0.869,0.631,,,95.77,66,1.03,0,94.269,,,10261,129,1.253,0.332,26.5,0.537,42.9,0.869,69.4,0.386,30.8,0.172,19.8,0.502,57.8,0.195,22.4,0.259,20.7,0.278,22.2,,69.4,97936
119,119,R,,,0.917,0.591,,,98.2,59,1.02,0,94.86,,-3.97,10320,125,1.222,0.384,29.5,0.533,40.9,0.917,70.4,0.332,27.2,0.16,17.4,0.548,59.8,0.209,22.8,0.278,21.4,0.255,19.6,,70.4,98527
120,120,L,,,0.883,0.662,,,95.77,70,1.03,0,95.522,,,10390,129,1.253,0.385,31.3,0.498,40.5,0.883,71.7,0.384,30.6,0.181,20.5,0.505,57.2,0.197,22.3,0.255,20.7,0.243,19.7,,71.7,99189
121,121,R,,,0.876,0.64,,,92.17,64,1.03,0,96.162,,-1.529,10453,134,1.302,0.348,28.2,0.528,42.8,0.876,71,0.385,29.6,0.163,18.6,0.492,56.2,0.221,25.2,0.243,19.7,0.285,23.1,,71,99829
122,122,L,,,0.888,0.591,,,97.48,59,1,-0.01,96.753,,,10513,123,1.231,0.357,28.8,0.531,42.9,0.888,71.7,0.348,28.3,0.164,18.5,0.528,59.5,0.196,22,0.285,23,0.246,19.9,,71.7,100420
123,123,R,,,0.887,0.642,,,97.32,70,1.05,0.02,97.395,,0.732,10583,129,1.233,0.351,28.6,0.536,43.7,0.887,72.3,0.357,29,0.187,21.1,0.501,56.5,0.199,22.4,0.246,20.1,0.29,23.7,,72.3,101062
124,124,L,,,0.88,0.597,,,96.85,58,1.03,-0.01,97.992,,,10641,128,1.239,0.339,26.8,0.541,42.8,0.88,69.7,0.351,28.3,0.149,16.9,0.551,62.6,0.18,20.5,0.29,23,0.251,19.9,,69.7,101659
125,125,R,,,0.879,0.629,,,97.88,68,1.03,0,98.621,,-0.341,10709,126,1.226,0.383,30.6,0.496,39.6,0.879,70.2,0.339,27.7,0.149,17,0.554,63,0.176,20,0.251,20,0.245,19.6,,70.2,102288
126,126,L,,,0.869,0.634,,,95.01,66,1.06,0.01,99.255,,,10774,134,1.263,0.374,29.8,0.495,39.5,0.869,69.4,0.383,30.3,0.178,20.5,0.5,57.5,0.191,22,0.245,19.6,0.25,20,,69.4,102922
127,127,R,,,0.903,0.619,,,95.77,64,1.04,-0.01,99.874,,-2.532,10838,130,1.253,0.384,30,0.519,40.5,0.903,70.4,0.374,29.8,0.149,16.5,0.564,62.5,0.19,21,0.25,19.5,0.269,21,,70.4,103541
128,128,L,,,0.891,0.634,,,95.77,65,1.03,0,100.508,,,10902,129,1.253,0.379,30.2,0.512,40.8,0.891,71.1,0.384,30.6,0.181,20.3,0.507,56.9,0.203,22.8,0.269,21.5,0.243,19.4,,71.1,104175
129,129,R,,,0.879,0.648,,,93.6,65,1.01,-0.01,101.156,,0,10967,130,1.282,0.363,29.3,0.516,41.6,0.879,70.8,0.379,29.6,0.158,18,0.511,58.1,0.21,23.9,0.243,19.6,0.273,22,,70.8,104823
130,130,L,,,0.886,0.606,,,95.69,64,1.03,0.01,101.762,,,11031,129,1.254,0.362,29,0.524,42,0.886,70.9,0.363,28.9,0.187,21.1,0.493,55.6,0.206,23.3,0.273,21.9,0.251,20.1,,70.9,105429
131,131,R,,,0.874,0.635,,,96.7,65,1.04,0,102.397,,1.072,11095,129,1.241,0.363,29.3,0.511,41.2,0.874,70.5,0.362,29.2,0.161,18.4,0.503,57.6,0.21,24,0.251,20.3,0.26,21,,70.5,106064
132,132,L,,,0.869,0.614,,,96.08,65,1.04,0,103.011,,,11160,130,1.249,0.365,29.5,0.504,40.7,0.869,70.3,0.363,29.1,0.189,21.7,0.499,57.4,0.181,20.9,0.26,21,0.244,19.7,,70.3,106678
133,133,R,,,0.868,0.625,,,96.85,63,1.03,0,103.636,,-0.23,11222,128,1.239,0.368,30.2,0.5,41.1,0.868,71.3,0.365,29.5,0.181,20.9,0.484,55.8,0.203,23.3,0.244,20,0.256,21,,71.3,107303
134,134,L,,,0.87,0.612,,,97.01,65,1.03,0,104.248,,,11287,128,1.237,0.349,28.2,0.521,42.1,0.87,70.2,0.368,29.7,0.168,19.3,0.512,58.9,0.19,21.8,0.256,20.7,0.265,21.4,,70.2,107915
135,135,R,,,0.908,0.605,,,98.6,63,1.05,0.01,104.853,,-2.069,11349,128,1.217,0.369,29.2,0.539,42.7,0.908,71.9,0.349,28.7,0.169,18.6,0.533,58.7,0.206,22.7,0.265,21,0.274,21.7,,71.9,108520
136,136,L,,,0.878,0.634,,,96.85,64,1.03,-0.01,105.487,,,11413,127,1.239,0.354,28.4,0.524,42,0.878,70.4,0.369,29.8,0.175,19.9,0.521,59.3,0.182,20.8,0.274,22,0.25,20,,70.4,109154
137,137,R,,,0.878,0.628,,,95.09,64,1.01,0,106.115,,-1.708,11477,128,1.262,0.369,30.6,0.509,42.2,0.878,72.8,0.354,28.1,0.173,19.7,0.504,57.4,0.201,22.9,0.25,20.7,0.259,21.5,,72.8,109782
138,138,L,,,0.862,0.619,,,96.23,64,1.03,0,106.734,,,11540,128,1.247,0.328,26.7,0.534,43.5,0.862,70.3,0.369,29.6,0.169,19.6,0.507,58.8,0.186,21.6,0.259,21.1,0.275,22.4,,70.3,110401
139,139,R,,,0.913,0.587,,,99.5,59,1.02,0,107.321,,-3.886,11600,123,1.206,0.365,28.5,0.548,42.7,0.913,71.2,0.328,27.2,0.155,17,0.565,61.9,0.193,21.1,0.275,21.5,0.273,21.3,,71.2,110988
140,140,L,,,0.889,0.64,,,97.8,67,1.03,0,107.961,,,11666,126,1.227,0.369,29.1,0.52,41.1,0.889,70.2,0.365,29.7,0.144,16.2,0.574,64.6,0.171,19.2,0.273,21.6,0.247,19.5,,70.2,111628
141,141,R,,,0.873,0.642,,,93.6,66,1.04,0,108.603,,-0.45,11732,133,1.282,0.377,30.3,0.496,39.8,0.873,70.1,0.369,28.8,0.155,17.8,0.518,59.3,0.2,22.9,0.247,19.8,0.249,20,,70.1,112270
142,142,L,,,0.854,0.624,,,94.79,65,1.03,0,109.227,,,11796,131,1.266,0.372,30.8,0.482,39.9,0.854,70.6,0.377,29.8,0.175,20.5,0.488,57.1,0.191,22.4,0.249,20.6,0.233,19.3,,70.6,112894
143,143,R,,,0.868,0.621,,,96.39,66,1.05,0.01,109.848,,-1.932,11862,131,1.245,0.355,29.7,0.513,42.9,0.868,72.5,0.372,29.9,0.161,18.5,0.533,61.4,0.174,20.1,0.233,19.5,0.28,23.4,,72.5,113515
144,144,L,,,0.868,0.588,,,99.26,57,1.02,-0.01,110.436,,,11919,123,1.209,0.329,27.1,0.539,44.4,0.868,71.4,0.355,29.4,0.156,18,0.538,62,0.174,20,0.28,23,0.259,21.3,,71.4,114103
145,145,R,,,0.879,0.609,,,100.25,63,1,-0.01,111.045,,-0.634,11982,120,1.197,0.347,28.3,0.532,43.4,0.879,71.8,0.329,27.5,0.151,17.2,0.538,61.2,0.19,21.6,0.259,21.1,0.273,22.3,,71.8,114712
146,146,L,,,0.902,0.606,,,98.77,66,1.06,0.02,111.651,,,12048,129,1.215,0.346,28.4,0.556,45.6,0.902,74,0.347,28.6,0.165,18.3,0.541,60,0.196,21.7,0.273,22.4,0.283,23.2,,74,115318
147,147,R,,,0.872,0.619,,,97.96,61,1.04,-0.01,112.27,,2.938,12109,127,1.225,0.317,25.7,0.555,44.9,0.872,70.6,0.346,28.2,0.149,17.1,0.551,63.2,0.172,19.7,0.283,22.9,0.272,22,,70.6,115937
148,148,L,,,0.897,0.6,,,98.44,63,1.02,-0.01,112.87,,,12172,124,1.219,0.363,29.5,0.534,43.3,0.897,72.8,0.317,26,0.158,17.6,0.56,62.4,0.179,20,0.272,22.1,0.262,21.3,,72.8,116537
149,149,R,,,0.869,0.635,,,97.17,66,1.04,0.01,113.505,,2.954,12237,129,1.235,0.335,27.7,0.534,44.1,0.869,71.8,0.363,29.4,0.145,16.7,0.544,62.6,0.18,20.7,0.262,21.6,0.272,22.5,,71.8,117172
150,150,L,,,0.878,0.597,,,97.4,61,1.03,-0.01,114.102,,,12299,127,1.232,0.342,27.7,0.536,43.4,0.878,71.1,0.335,27.2,0.142,16.2,0.56,63.8,0.176,20,0.272,22,0.264,21.4,,71.1,117769
151,151,R,,,0.893,0.614,,,99.09,64,1.03,0,114.716,,-0.342,12362,125,1.211,0.357,28.7,0.536,43.1,0.893,71.8,0.342,28.2,0.147,16.5,0.557,62.4,0.189,21.1,0.264,21.2,0.272,21.9,,71.8,118383
152,152,L,,,0.865,0.621,,,97.17,64,1.04,0,115.337,,,12426,128,1.235,0.35,28.3,0.515,41.7,0.865,70,0.357,28.9,0.135,15.6,0.569,65.8,0.161,18.6,0.272,22,0.243,19.7,,70,119004
153,153,R,,,0.882,0.622,,,96.54,65,1.04,0,115.959,,-2.601,12490,129,1.243,0.37,30.1,0.512,41.6,0.882,71.6,0.35,28.2,0.175,19.8,0.492,55.8,0.215,24.4,0.243,19.7,0.269,21.9,,71.6,119626
154,154,L,,,0.86,0.613,,,97.17,65,1.05,0.01,116.572,,,12555,130,1.235,0.349,28.6,0.511,41.9,0.86,70.5,0.37,30,0.136,15.8,0.546,63.5,0.178,20.7,0.269,22,0.242,19.8,,70.5,120239
155,155,R,,,0.865,0.618,,,97.48,65,1.06,0,117.19,,-1.57,12620,130,1.231,0.36,29.5,0.505,41.4,0.865,71,0.349,28.4,0.176,20.3,0.494,57.1,0.195,22.6,0.242,19.9,0.263,21.6,,71,120857
156,156,L,,,0.866,0.602,,,98.36,65,1.07,0,117.792,,,12684,130,1.22,0.354,29.5,0.512,42.7,0.866,72.2,0.36,29.5,0.173,20,0.499,57.6,0.194,22.4,0.263,21.9,0.249,20.8,,72.2,121459
157,157,R,,,0.857,0.617,,,98.44,64,1.06,0,118.409,,0.577,12748,129,1.219,0.334,26.6,0.523,41.6,0.857,68.2,0.354,29,0.161,18.8,0.5,58.3,0.196,22.9,0.249,19.8,0.274,21.8,,68.2,122076
158,158,L,,,0.911,0.583,,,100,60,1.03,-0.01,118.992,,,12808,124,1.2,0.4,31.7,0.511,40.5,0.911,72.2,0.334,27.8,0.144,15.8,0.562,61.7,0.205,22.5,0.274,21.7,0.237,18.8,,72.2,122659
159,159,R,,,0.854,0.674,,,95.47,69,1.03,0,119.666,,6.092,12877,129,1.257,0.35,28.3,0.504,40.8,0.854,69.1,0.4,31.8,0.139,16.3,0.517,60.5,0.198,23.2,0.237,19.2,0.267,21.6,,69.1,123333
160,160,L,,,0.885,0.587,,,95.16,63,1.05,0.01,120.253,,,12940,132,1.261,0.382,30.4,0.503,40.1,0.885,70.5,0.35,27.8,0.134,15.1,0.582,65.8,0.169,19.1,0.267,21.3,0.236,18.8,,70.5,123920
161,161,R,,,0.862,0.649,,,97.09,66,1.04,0,120.902,,3.051,13005,129,1.236,0.37,29.8,0.492,39.6,0.862,69.3,0.382,30.9,0.151,17.5,0.505,58.6,0.206,23.9,0.236,19,0.256,20.6,,69.3,124569
162,162,L,,,0.862,0.606,,,95.62,65,1.04,0,121.508,,,13070,131,1.255,0.381,31.1,0.481,39.2,0.862,70.3,0.37,29.5,0.165,19.1,0.508,58.9,0.189,22,0.256,20.9,0.225,18.3,,70.3,125175
163,163,R,,,0.869,0.637,,,96.54,65,1.05,0,122.145,,-0.406,13134,130,1.243,0.365,30.1,0.504,41.5,0.869,71.6,0.381,30.7,0.188,21.6,0.492,56.6,0.189,21.8,0.225,18.5,0.279,23,,71.6,125812
164,164,L,,,0.879,0.59,,,97.8,58,1,-0.02,122.735,,,13193,123,1.227,0.344,28.1,0.535,43.6,0.879,71.7,0.365,29.7,0.156,17.7,0.551,62.7,0.172,19.6,0.279,22.8,0.256,20.9,,71.7,126402
165,165,R,,,0.859,0.623,,,98.93,61,0.98,-0.01,123.358,,1.706,13254,119,1.213,0.347,28.2,0.512,41.7,0.859,69.9,0.344,28.4,0.166,19.3,0.492,57.3,0.201,23.4,0.256,20.8,0.256,20.8,,69.9,127025
166,166,L,,,0.869,0.603,,,97.88,65,1.03,0.02,123.961,,,13319,126,1.226,0.37,30.5,0.499,41.1,0.869,71.6,0.347,28.3,0.163,18.8,0.511,58.8,0.195,22.4,0.256,21.1,0.243,20,,71.6,127628
167,167,R,,,0.875,0.626,,,97.64,66,1.07,0.02,124.587,,0.23,13384,131,1.229,0.345,27.9,0.53,42.9,0.875,70.9,0.37,30.1,0.195,22.3,0.494,56.5,0.186,21.2,0.243,19.7,0.287,23.2,,70.9,128254
