,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
225,225,R,,,0.758,0.14,,,,65,,,160.17,,-82.941,17037,105,,,,,,0.758,,,,0.225,29.7,0.123,16.2,0.41,54.1,0.285,,,,,,163837
226,226,L,,0.473,0.499,,27.4,0.81,48.74,41,0.33,0.01,160.928,69.507,,17077,106,,,,,,0.499,61.6,,,0.003,0.6,0.093,18.6,0.403,80.8,,,0.177,,38.4,61.6,164595
227,227,R,,,0.636,0.322,,,,66,,,161.25,,-39.679,17143,107,,,,,,0.636,,,,0.119,18.7,0.084,13.2,0.433,68.1,0.177,,,,,,164917
228,228,L,,0.459,0.648,,25.8,0.91,54.79,42,0.38,0.02,161.886,67.875,,17185,108,,,,,,0.648,82.7,,,0.01,1.5,0.143,22.1,0.495,76.4,,,0.016,,41.9,82.7,165553
229,229,R,,,0.624,0.632,,,,76,,,162.518,,2.778,17261,118,,0.136,,0.488,,0.624,,,,0.04,6.4,0.495,79.3,0.089,14.3,0.016,,0.472,,,,166185
230,230,L,,,0.602,0.152,,,153.06,22,1.25,0.46,162.67,,,17283,98,0.784,,,,,0.602,,0.136,17.3,0.126,20.9,0.098,16.3,0.378,62.8,0.472,,,,,,166337
231,231,R,,0.13,0.583,,2.1,1.37,81.97,41,0.56,-0.46,163.272,11.426,-0.249,17323,63,,,,,,0.583,50,,,0.016,2.7,0.1,17.2,0.467,80.1,,,0.042,,17.8,50,166939
232,232,L,,,0.712,0.541,,,,65,,,163.813,,,17388,106,,0.584,,0.128,,0.712,,,,0.342,48,0.081,11.4,0.289,40.6,0.042,,0.086,,,,167480
233,233,R,,,0.541,0.626,,,102.83,61,1.08,0.27,164.439,,21.067,17449,126,1.167,,,,,0.541,,0.584,50,0.001,0.2,0.085,15.7,0.455,84.1,0.086,,,,,,168106
234,234,L,,0.455,0.508,,25.4,1,60.24,41,0.41,-0.31,164.98,68.006,,17490,102,,,,,,0.508,54.3,,,0.008,1.6,0.074,14.6,0.426,83.8,,,,,45.7,54.3,168647
235,235,R,,0.508,0.425,,31.6,0.98,59.06,41,0.4,0,165.488,72.047,4.921,17531,82,,,,,,0.425,50,,,0.011,2.6,0.089,20.9,0.325,76.5,,,,,50,50,169155
236,236,L,,0.425,0.337,,22.1,1.18,70.59,41,0.48,0.04,165.913,65.159,,17571,82,,,,,,0.337,50,,,0.021,6.2,0.039,11.6,0.277,82.2,,,,,50,50,169580
237,237,R,,0.337,0.324,,13.9,1.48,89.02,41,0.61,0.08,166.25,53.637,-11.128,17612,82,,,,,,0.324,50,,,0.008,2.5,0.04,12.3,0.276,85.2,,,,,50,50,169917
238,238,L,,0.324,0.466,,12.9,1.54,92.59,43,0.66,0.04,166.574,50.125,,17655,84,,,,,,0.466,50,,,0.024,5.2,0.061,13.1,0.381,81.7,,,,,50,50,170241
239,239,R,,0.466,0.452,,26.6,1.07,64.38,41,0.44,-0.14,167.04,68.94,16.738,17695,84,,,,,,0.452,50,,,0.019,4.2,0.073,16.2,0.36,79.6,,,,,50,50,170707
240,240,L,,0.452,0.311,,25,1.11,66.37,41,0.45,0.01,167.492,67.742,,17736,82,,,,,,0.311,50,,,0.082,26.4,0.096,30.9,0.133,42.7,,,,,50,50,171159
241,241,R,,0.311,0.343,,11.9,1.61,96.46,41,0.66,0.13,167.803,49.156,-27.814,17777,82,,,,,,0.343,50,,,0.005,1.5,0.035,10.2,0.303,88.3,,,,,50,50,171470
242,242,L,,0.343,0.511,,14.4,1.46,87.46,48,0.7,0.03,168.146,50.237,,17824,89,,,,,,0.511,50,,,0.001,0.2,0.143,28,0.367,71.8,,,,,50,50,171813
243,243,R,,0.511,0.414,,32,0.98,58.71,50,0.49,-0.12,168.657,68.668,25.93,17874,98,,,,,,0.414,50,,,0.011,2.7,0.127,30.7,0.276,66.6,,,,,50,50,172324
244,244,L,,0.414,4.467,,21,1.21,72.46,41,0.5,0,169.071,63.994,,17915,91,,,,,,4.467,50,,,0.098,2.2,,,,,,,,,50,50,172738
245,245,R,,4.467,0.402,,2446,0.11,6.72,457,0.51,0,173.538,87.326,90.866,18373,498,,,,,,0.402,50,,,0.001,0.2,0.058,14.4,0.343,85.4,,,,,50,50,177205
246,246,L,,0.402,,,19.8,1.24,74.63,42,0.52,0,173.94,62.074,,18415,499,,,,,,,50,,,,,,,,,,,,,50,50,177607
247,External trigger STOP,,177.915,,,,,,,,,,174.247,,,,,,,,,,,,,,,,,,,,,,,,,,177914
